URL: /
Timestamp: Thu Sep 29 2022 17:09:44 GMT-0400 (Eastern Daylight Time)

URL: /test.js
Timestamp: Thu Sep 29 2022 17:09:44 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
Timestamp: Thu Sep 29 2022 17:09:44 GMT-0400 (Eastern Daylight Time)

::1 - - [03/Oct/2022:22:47:37 +0000] "GET /movies/genre/Action HTTP/1.1" 500 16
::1 - - [03/Oct/2022:22:47:38 +0000] "GET /movies/genre/Action HTTP/1.1" 500 16
::1 - - [03/Oct/2022:22:47:39 +0000] "GET /movies/genre/Action HTTP/1.1" 500 16
::1 - - [03/Oct/2022:22:48:05 +0000] "GET /movies/genre/Action HTTP/1.1" 200 17
::1 - - [03/Oct/2022:22:50:53 +0000] "GET /movies/genre/Action HTTP/1.1" 200 17
::1 - - [03/Oct/2022:22:50:59 +0000] "GET /movies/genre/Romance HTTP/1.1" 200 18
::1 - - [03/Oct/2022:22:52:30 +0000] "GET /movies/genre/Ang%20Lee HTTP/1.1" 500 16
::1 - - [03/Oct/2022:22:52:37 +0000] "GET /movies/director/Ang%20Lee HTTP/1.1" 200 433
::1 - - [03/Oct/2022:23:00:22 +0000] "GET /movies/genre/Action HTTP/1.1" 200 17
::1 - - [03/Oct/2022:23:00:57 +0000] "GET /movies/director/Ang%20Lee HTTP/1.1" 200 433
::1 - - [03/Oct/2022:23:01:31 +0000] "POST /users HTTP/1.1" 400 17
::1 - - [03/Oct/2022:23:03:20 +0000] "POST /users HTTP/1.1" 201 79
::1 - - [03/Oct/2022:23:21:17 +0000] "PUT /users/1 HTTP/1.1" 200 54
::1 - - [03/Oct/2022:23:24:47 +0000] "GET /user/1/Hero HTTP/1.1" 404 150
::1 - - [03/Oct/2022:23:24:56 +0000] "PUT /user/1/Hero HTTP/1.1" 404 150
::1 - - [03/Oct/2022:23:25:11 +0000] "PUT /user/1/Hero HTTP/1.1" 404 150
::1 - - [03/Oct/2022:23:25:20 +0000] "POST /user/1/Hero HTTP/1.1" 404 151
::1 - - [03/Oct/2022:23:26:06 +0000] "POST /user/1/Hero HTTP/1.1" 404 151
::1 - - [03/Oct/2022:23:26:12 +0000] "POST /user/1/Hero HTTP/1.1" 404 151
::1 - - [03/Oct/2022:23:26:33 +0000] "POST /user/1/Hero HTTP/1.1" 404 151
::1 - - [03/Oct/2022:23:26:44 +0000] "POST /users/1/Hero HTTP/1.1" 200 49
::1 - - [03/Oct/2022:23:32:40 +0000] "POST /users/2/Red%20Cliff HTTP/1.1" 200 64
::1 - - [03/Oct/2022:23:35:14 +0000] "POST /users/2/Red%20Cliff HTTP/1.1" 200 64
::1 - - [03/Oct/2022:23:36:42 +0000] "POST /users/2/Hero HTTP/1.1" 200 37
::1 - - [03/Oct/2022:23:37:08 +0000] "DELETE /users/2/Hero HTTP/1.1" 200 41
::1 - - [03/Oct/2022:23:40:58 +0000] "DELETE /users/2 HTTP/1.1" 200 23
